Player 1,Player 2,Score Player 1,Score Player 2
458,2080,33,368
458,2083,43,363
458,2119,203,283
458,2157,33,368
458,2193,366,201
458,2206,203,283
458,2225,366,201
458,2295,203,283
458,2300,366,201
458,2308,267,267
458,2321,267,267
458,2328,43,363
458,2358,203,283
458,2359,267,267
458,2401,33,368
458,2424,203,283
458,2442,234,234
458,2449,197,292
458,2450,208,288
458,2464,195,290
458,2482,43,363
458,2518,267,267
458,2524,203,283
458,2642,188,288
458,2682,267,267
458,2684,366,201
458,2724,33,368
458,2766,153,313
458,2796,43,363
458,2810,234,234
458,2823,199,284
458,2825,165,310
458,2832,267,267
458,2839,252,267
458,2850,366,201
458,2860,33,368
458,2893,43,363
458,3002,234,234
458,3049,209,284
458,3057,203,283
458,3115,250,265
458,3118,33,368
458,3145,185,295
458,3158,33,368
458,3164,203,283
458,3229,366,201
458,3278,33,368
458,3286,33,368
458,3313,206,281
458,3341,234,234
458,3363,43,363
458,3378,234,234
458,3392,203,283
458,3396,43,363
458,3420,366,201
458,3435,366,201
458,3475,43,363
458,3501,197,292
458,3533,43,363
458,3545,43,363
458,3558,179,299
458,3568,43,363
458,3573,43,363
458,3661,43,363
458,3678,250,265
458,3682,33,368
458,3688,267,267
458,3701,203,283
458,3711,189,294
458,3761,33,368
458,3779,33,368
458,3844,267,267
458,3873,234,234
458,3881,203,283
458,3898,43,363
458,3905,204,289
458,3911,190,285
458,3953,203,283
458,3962,193,288
458,3975,366,201
458,4022,366,201
458,4024,267,267
458,4102,196,286
458,4124,33,368
458,4148,33,368
458,4194,366,201
458,4215,43,363
458,4260,234,234
458,4268,33,368
458,4325,33,368
458,4329,366,201
458,4353,33,368
458,4447,366,201
458,4448,234,234
458,4453,366,201
458,4469,366,201
458,4479,366,201
458,4556,194,294
458,4587,33,368
458,4613,267,267
458,4624,43,363
458,4640,192,292
458,4675,33,368
458,4688,215,280
458,4699,33,368
458,4725,219,284
458,4755,218,283
458,4782,234,234
458,4796,366,201
458,4883,366,201
458,4890,220,280
458,4921,43,363
458,4928,235,275
458,4938,267,267
458,4950,234,234
458,4970,234,234
458,4980,235,275
458,4983,43,363
458,4984,43,363
458,4992,199,279
458,5003,243,273
458,5011,267,267
458,5013,212,287
458,5048,33,368
458,5092,180,295
458,5093,366,201
458,5111,203,283
458,5120,150,315
458,5145,366,201
458,5158,366,201
458,5191,33,368
458,5232,366,201
458,5320,191,296
458,5361,33,368
458,5363,216,276
458,5378,203,283
458,5401,267,267
458,5454,366,201
458,5512,234,234
458,5520,200,290
458,5536,203,283
458,5553,234,234
458,5616,220,280
458,5629,203,283
458,5632,43,363
458,5636,33,368
458,5677,33,368
458,5682,208,283
458,5689,243,268
458,5702,267,267
458,5710,43,363
458,5712,203,283
458,5726,366,201
458,5728,220,285
458,5761,33,368
458,5762,43,363
458,5763,33,368
458,5766,366,201
458,5802,203,283
458,5880,162,312
458,5882,267,267
458,5890,203,283
458,5926,33,368
458,5963,203,283
458,5970,182,297
458,5987,234,234
458,6019,366,201
458,6053,43,363
458,6068,203,283
458,6080,194,289
458,6150,178,303
458,6157,183,293
458,6163,190,295
458,6170,234,234
458,6197,366,201
458,6232,366,201
458,6242,234,234
458,6262,43,363
458,6281,216,281
458,6319,195,285
458,6321,202,282
458,6327,187,297
474,9,300,300
474,40,300,300
474,157,283,203
474,231,283,203
474,354,300,300
474,373,300,300
474,444,283,203
474,478,283,203
474,493,300,300
474,510,300,300
474,536,283,203
474,567,300,300
474,568,197,222
474,650,300,300
474,685,215,260
474,799,300,300
474,863,167,227
474,895,236,221
474,906,300,300
474,913,300,300
474,960,283,203
474,970,300,300
474,976,136,246
474,1051,283,203
474,1126,218,228
474,1127,283,203
474,1144,300,300
474,1145,300,300
474,1157,283,203
474,1244,204,234
474,1307,239,209
474,1501,50,300
474,1548,50,300
474,1578,283,203
474,1634,202,212
474,1762,50,300
474,1809,221,251
474,1835,283,203
474,1839,283,203
474,1842,300,300
474,1860,232,237
474,1946,300,300
474,1951,300,300
474,1964,300,300
474,2046,300,300
474,2080,50,300
474,2083,300,300
474,2206,300,300
474,2289,300,300
474,2295,300,300
474,2308,300,300
474,2359,300,300
474,2398,50,300
474,2406,300,300
474,2424,300,300
474,2484,300,300
474,2549,300,300
474,2637,50,300
474,2687,228,218
474,2692,151,236
474,2704,300,300
474,2803,300,300
474,2812,300,300
474,2838,300,300
474,2850,300,300
